country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size
USA,Agriculture,Stable Diffusion,35.25,9263,2024,18-24,Enterprise
Germany,Transportation,Midjourney,60.68,2535,2024,35-44,Startup
France,Education,Stable Diffusion,37.39,4859,2024,18-24,Startup
Brazil,Manufacturing,ChatGPT,96.77,2174,2023,35-44,SME
UK,Technology,ChatGPT,83.95,4208,2024,45-54,SME
Brazil,Agriculture,ChatGPT,76.91,358,2024,35-44,SME
Brazil,Healthcare,Midjourney,38.68,6379,2023,25-34,Enterprise
Germany,Manufacturing,Stable Diffusion,79.76,3448,2024,55+,Startup
Brazil,Agriculture,ChatGPT,37.57,6092,2023,25-34,Startup
China,Agriculture,Stable Diffusion,85.34,2715,2023,35-44,Startup
China,Agriculture,Midjourney,86.45,9812,2023,55+,Startup
Australia,Manufacturing,Midjourney,29.51,2667,2024,35-44,Enterprise
Australia,Transportation,Midjourney,64.96,1890,2024,18-24,Enterprise
India,Retail,ChatGPT,58.54,7052,2023,25-34,SME
Brazil,Retail,Midjourney,85.38,3307,2024,35-44,Startup
India,Technology,ChatGPT,74.83,8032,2024,25-34,Enterprise
Brazil,Retail,Midjourney,8.49,5299,2024,18-24,Enterprise
USA,Technology,Midjourney,0.48,1029,2024,18-24,Startup
France,Education,ChatGPT,78.48,7306,2023,55+,SME
France,Education,Claude,6.19,4897,2024,18-24,Enterprise
France,Education,ChatGPT,32.36,3074,2024,45-54,Startup
Australia,Agriculture,Bard,33.85,1874,2024,35-44,Startup
UK,Retail,Midjourney,10.83,3704,2024,35-44,SME
France,Technology,Midjourney,88.34,844,2024,35-44,Enterprise
China,Education,Midjourney,72.93,9517,2024,55+,SME
France,Technology,Stable Diffusion,79.48,4556,2024,25-34,Enterprise
Canada,Agriculture,ChatGPT,71.97,4511,2023,35-44,Enterprise
UK,Healthcare,Bard,41.61,6388,2024,55+,Enterprise
Canada,Education,ChatGPT,70.12,9253,2023,35-44,Startup
Canada,Agriculture,Midjourney,56.68,413,2024,55+,SME
USA,Retail,Midjourney,45.29,7360,2024,55+,Startup
India,Transportation,ChatGPT,85.83,8050,2024,35-44,SME
China,Finance,Bard,44.74,3992,2024,55+,Enterprise
India,Finance,Claude,13.88,6990,2024,35-44,SME
UK,Education,ChatGPT,42.31,5107,2024,18-24,Enterprise
Australia,Retail,ChatGPT,52.89,2768,2024,55+,Startup
Australia,Transportation,Bard,13.68,8540,2024,35-44,SME
UK,Retail,Bard,3.88,551,2023,55+,Enterprise
Brazil,Transportation,Stable Diffusion,79.84,8256,2024,35-44,SME
Canada,Technology,ChatGPT,38.52,2994,2024,18-24,Enterprise
USA,Agriculture,Midjourney,24.26,7427,2024,25-34,Startup
France,Finance,Midjourney,99.51,4674,2024,25-34,Startup
Canada,Healthcare,Stable Diffusion,28.6,1437,2024,55+,SME
Australia,Healthcare,Stable Diffusion,41.55,9170,2024,55+,Enterprise
Canada,Education,Bard,21.57,4427,2024,35-44,Enterprise
Canada,Finance,Stable Diffusion,5.62,9022,2024,45-54,Startup
USA,Technology,Midjourney,4.71,1359,2023,18-24,Startup
Canada,Finance,Midjourney,84.81,2721,2024,25-34,Startup
France,Education,ChatGPT,19.67,5983,2023,55+,Startup
Germany,Technology,ChatGPT,65.91,3658,2024,55+,Startup
Australia,Finance,ChatGPT,99.75,3743,2024,25-34,SME
USA,Transportation,ChatGPT,54.98,587,2024,45-54,SME
Germany,Transportation,ChatGPT,30.21,7733,2024,18-24,Enterprise
UK,Manufacturing,Bard,10.43,706,2024,35-44,Startup
South Korea,Education,ChatGPT,24.55,312,2024,18-24,Startup
China,Healthcare,ChatGPT,95.93,3179,2024,18-24,Enterprise
China,Transportation,Stable Diffusion,41.46,8562,2023,25-34,SME
UK,Healthcare,Midjourney,88.54,2259,2024,18-24,SME
South Korea,Healthcare,Bard,2.18,911,2024,55+,Startup
Brazil,Technology,Midjourney,38.78,6922,2023,18-24,Enterprise
USA,Transportation,Midjourney,40.55,9109,2023,45-54,Enterprise
China,Finance,ChatGPT,13.75,4715,2024,45-54,Enterprise
Brazil,Education,Stable Diffusion,7.81,5991,2024,45-54,Startup
USA,Technology,Midjourney,2.87,5678,2024,35-44,Enterprise
Brazil,Finance,Midjourney,81.03,1666,2024,25-34,Startup
China,Healthcare,Bard,74.13,9649,2024,55+,Startup
South Korea,Transportation,Midjourney,81.31,1101,2024,35-44,SME
China,Education,Bard,21.8,8928,2023,25-34,SME
UK,Healthcare,Midjourney,8.53,3672,2024,45-54,Startup
Australia,Retail,Midjourney,54.92,9104,2023,25-34,Enterprise
India,Healthcare,ChatGPT,96.72,4535,2023,55+,SME
Canada,Agriculture,ChatGPT,51.17,5883,2024,35-44,Startup
Canada,Transportation,Midjourney,66.1,5330,2023,35-44,Enterprise
France,Technology,Midjourney,83.73,3159,2024,45-54,SME
South Korea,Education,ChatGPT,76.07,2792,2024,35-44,Startup
Australia,Healthcare,Stable Diffusion,53.3,7504,2024,45-54,Enterprise
UK,Agriculture,Midjourney,45.5,3948,2023,35-44,Startup
UK,Healthcare,Midjourney,59.12,3506,2024,35-44,Startup
UK,Education,Stable Diffusion,60.24,9282,2023,45-54,Startup
Brazil,Finance,Midjourney,48.67,6640,2024,45-54,Startup
Germany,Education,ChatGPT,7.6,7548,2024,18-24,Enterprise
India,Healthcare,Claude,3.43,6076,2024,35-44,Startup
Germany,Technology,Midjourney,44.44,3939,2024,35-44,SME
USA,Healthcare,Midjourney,98.97,114,2023,55+,Enterprise
India,Retail,ChatGPT,82.69,9728,2024,55+,Enterprise
USA,Transportation,ChatGPT,26.75,367,2023,35-44,SME
France,Transportation,ChatGPT,87.83,6826,2023,45-54,Startup
France,Retail,Midjourney,70.05,6443,2024,45-54,Startup
Australia,Technology,ChatGPT,94.87,7926,2024,55+,Startup
UK,Agriculture,ChatGPT,62.66,6735,2024,45-54,Enterprise
France,Transportation,Stable Diffusion,1.59,954,2024,35-44,SME
India,Manufacturing,Midjourney,96.07,6843,2024,45-54,Enterprise
South Korea,Manufacturing,Midjourney,78.6,3732,2024,55+,SME
Canada,Agriculture,ChatGPT,42.58,9010,2024,18-24,Enterprise
South Korea,Finance,Midjourney,69.96,5965,2024,45-54,Enterprise
India,Finance,Midjourney,24.67,7371,2024,25-34,Startup
UK,Retail,ChatGPT,30.1,5421,2023,18-24,Enterprise
Australia,Healthcare,Claude,41.99,8255,2024,25-34,Startup
UK,Agriculture,Stable Diffusion,70.18,3982,2023,55+,Startup
UK,Manufacturing,Midjourney,18.6,1842,2024,35-44,Startup
India,Finance,ChatGPT,73.65,5317,2023,55+,SME
Germany,Transportation,ChatGPT,79.7,267,2024,55+,Enterprise
China,Healthcare,Stable Diffusion,3.95,2321,2024,18-24,Enterprise
Germany,Agriculture,ChatGPT,72.99,1815,2024,35-44,SME
Australia,Manufacturing,Bard,63.22,1558,2024,35-44,Enterprise
Australia,Healthcare,ChatGPT,49.9,8281,2024,45-54,SME
Australia,Manufacturing,Midjourney,53.57,8552,2024,55+,SME
Germany,Transportation,Midjourney,87.1,5550,2024,55+,Startup
South Korea,Healthcare,ChatGPT,47.56,2060,2024,35-44,SME
USA,Manufacturing,Claude,29.55,1663,2024,55+,SME
Germany,Retail,Bard,48.62,1595,2024,35-44,Startup
India,Education,Midjourney,4.03,8227,2024,55+,Enterprise
Germany,Healthcare,Midjourney,96.76,878,2024,18-24,Startup
South Korea,Finance,Stable Diffusion,6.12,8788,2024,25-34,Enterprise
Germany,Education,Claude,14.47,2910,2024,45-54,Enterprise
South Korea,Retail,Bard,65.58,6214,2023,35-44,Startup
UK,Manufacturing,ChatGPT,85.24,3789,2024,25-34,SME
Australia,Manufacturing,Midjourney,37.03,8794,2024,25-34,SME
UK,Finance,Stable Diffusion,93.15,8973,2024,25-34,Startup
China,Agriculture,Midjourney,65.11,2115,2024,18-24,SME
France,Education,Midjourney,43.42,4062,2024,45-54,SME
South Korea,Transportation,Midjourney,3.82,9916,2023,25-34,Startup
China,Finance,Bard,82.5,5241,2024,55+,Enterprise
France,Retail,Claude,37.81,6922,2024,45-54,Enterprise
China,Manufacturing,Bard,28.85,9124,2024,55+,Enterprise
France,Healthcare,ChatGPT,16.62,4401,2023,55+,Startup
France,Technology,Midjourney,77.88,4147,2023,35-44,Startup
UK,Healthcare,Bard,56.97,8791,2024,25-34,SME
France,Education,Midjourney,56.93,6140,2024,45-54,SME
China,Manufacturing,ChatGPT,69.65,8021,2024,35-44,Enterprise
USA,Retail,Midjourney,2.39,8252,2023,35-44,Enterprise
USA,Healthcare,Midjourney,27.4,6526,2024,18-24,Enterprise
UK,Healthcare,ChatGPT,35.01,8372,2024,35-44,Startup
South Korea,Manufacturing,Midjourney,3.46,9390,2023,45-54,Startup
India,Manufacturing,ChatGPT,85.18,2489,2023,25-34,SME
UK,Healthcare,ChatGPT,84.48,4330,2024,55+,Startup
France,Manufacturing,Midjourney,12.78,942,2024,55+,SME
China,Healthcare,ChatGPT,25.53,4818,2024,55+,Startup
France,Finance,ChatGPT,15.7,2848,2024,35-44,Startup
Germany,Technology,Stable Diffusion,16.31,6916,2024,45-54,SME
Brazil,Technology,ChatGPT,91.39,5770,2024,55+,Enterprise
Canada,Agriculture,ChatGPT,76.48,4216,2024,25-34,Enterprise
Canada,Transportation,Midjourney,18.16,1071,2024,45-54,SME
India,Manufacturing,ChatGPT,72.98,5299,2024,35-44,SME
UK,Technology,ChatGPT,28.16,8426,2023,45-54,SME
Brazil,Finance,Stable Diffusion,11.17,2822,2024,45-54,Startup
USA,Finance,Midjourney,60.26,5432,2024,25-34,SME
France,Education,ChatGPT,18.48,3672,2024,55+,Startup
UK,Healthcare,Midjourney,56.6,4258,2023,35-44,Enterprise
France,Healthcare,ChatGPT,48.54,6113,2023,35-44,Startup
Australia,Transportation,ChatGPT,73.37,3168,2023,45-54,Startup
UK,Agriculture,Bard,99.1,9774,2024,25-34,SME
Germany,Technology,ChatGPT,21.98,5671,2023,45-54,Startup
Australia,Finance,Midjourney,14.91,9799,2024,35-44,SME
India,Healthcare,ChatGPT,40.85,4987,2024,55+,Enterprise
Canada,Technology,ChatGPT,18.34,8350,2023,45-54,SME
USA,Retail,ChatGPT,33.99,6371,2024,55+,SME
Australia,Finance,ChatGPT,28.22,8129,2024,18-24,Startup
Australia,Manufacturing,ChatGPT,14.97,6704,2024,55+,SME
USA,Healthcare,ChatGPT,2.3,309,2023,25-34,Enterprise
France,Retail,Bard,66.23,7613,2024,35-44,Startup
UK,Education,Stable Diffusion,20.1,1986,2024,25-34,Enterprise
France,Technology,Midjourney,80.85,1870,2024,25-34,Startup
USA,Agriculture,Claude,83.31,8120,2024,55+,Enterprise
India,Finance,Bard,26.12,301,2024,45-54,SME
UK,Retail,Midjourney,40.69,8709,2023,35-44,Startup
India,Retail,Stable Diffusion,68.14,4700,2024,35-44,Startup
Germany,Healthcare,ChatGPT,8.02,5414,2024,18-24,SME
Australia,Finance,Bard,87.78,1044,2024,45-54,SME
India,Finance,Claude,37.42,9104,2024,25-34,Enterprise
Australia,Transportation,Midjourney,14.19,6234,2024,18-24,Enterprise
India,Education,Midjourney,30.21,1546,2023,35-44,Enterprise
India,Retail,Bard,27.12,725,2024,35-44,Enterprise
Canada,Healthcare,ChatGPT,62.08,5014,2023,25-34,Startup
France,Technology,Stable Diffusion,96.19,9117,2024,25-34,SME
India,Finance,ChatGPT,10.04,7899,2024,35-44,SME
China,Healthcare,ChatGPT,73.64,5969,2024,18-24,Startup
South Korea,Finance,Midjourney,57.58,493,2024,18-24,Startup
South Korea,Finance,ChatGPT,82.27,6198,2024,35-44,SME
Canada,Healthcare,Stable Diffusion,17.42,3680,2023,55+,Enterprise
UK,Transportation,Midjourney,56.35,3357,2023,35-44,Startup
Germany,Finance,Midjourney,92.76,9560,2024,25-34,Enterprise
Australia,Technology,Midjourney,22.89,8549,2024,35-44,Enterprise
Canada,Education,Stable Diffusion,31.7,7652,2024,18-24,Startup
China,Agriculture,Stable Diffusion,60.23,3437,2024,35-44,SME
USA,Agriculture,Stable Diffusion,57.73,7192,2023,18-24,SME
India,Finance,Claude,52.96,2887,2023,45-54,Enterprise
South Korea,Retail,Midjourney,62.67,5924,2024,35-44,Startup
UK,Healthcare,Midjourney,16.62,2615,2024,35-44,Startup
UK,Technology,Midjourney,58.41,2120,2023,35-44,SME
UK,Retail,ChatGPT,42.16,8060,2024,18-24,SME
France,Manufacturing,Midjourney,63.44,3998,2024,45-54,SME
USA,Technology,ChatGPT,41.03,7007,2024,25-34,Enterprise
USA,Healthcare,Stable Diffusion,21.2,6980,2023,45-54,Startup
China,Education,ChatGPT,39.67,4852,2024,35-44,SME
UK,Technology,Midjourney,30.83,6158,2024,35-44,Startup
Australia,Finance,Stable Diffusion,12.95,2847,2024,55+,Startup
UK,Manufacturing,Midjourney,4.71,1692,2024,45-54,Enterprise
UK,Technology,ChatGPT,73.95,8566,2024,55+,Enterprise
South Korea,Healthcare,Midjourney,25.65,609,2023,18-24,Enterprise
India,Manufacturing,Midjourney,97.62,8809,2024,55+,SME
Canada,Retail,Midjourney,14.48,4942,2024,55+,Startup
Canada,Retail,ChatGPT,25.57,8969,2024,25-34,Startup
UK,Finance,Claude,55.58,6092,2024,55+,Enterprise
Brazil,Healthcare,ChatGPT,53.34,1597,2024,35-44,Enterprise
China,Healthcare,ChatGPT,94.56,5520,2023,18-24,SME
South Korea,Manufacturing,Stable Diffusion,7.34,814,2024,55+,Enterprise
Germany,Manufacturing,ChatGPT,78.99,855,2024,18-24,SME
Canada,Transportation,ChatGPT,96.51,8380,2023,35-44,Startup
Canada,Manufacturing,ChatGPT,2.82,654,2024,35-44,SME
Brazil,Agriculture,ChatGPT,95.6,8987,2024,45-54,Startup
UK,Agriculture,Midjourney,57,9119,2023,35-44,Startup
China,Education,Bard,30.38,3632,2023,35-44,Enterprise
USA,Healthcare,ChatGPT,79.05,9730,2024,45-54,Enterprise
Germany,Healthcare,Midjourney,85.47,2747,2024,18-24,SME
Brazil,Transportation,ChatGPT,22.45,2762,2023,35-44,Enterprise
USA,Finance,Midjourney,96.85,6986,2024,35-44,Enterprise
Brazil,Finance,Stable Diffusion,74.06,2537,2024,45-54,SME
Canada,Finance,Midjourney,56.2,3600,2023,25-34,Enterprise
India,Transportation,Midjourney,2.63,5317,2024,55+,Enterprise
Germany,Healthcare,Stable Diffusion,98.6,6867,2023,55+,Enterprise
Canada,Healthcare,Midjourney,65.61,958,2023,18-24,SME
Germany,Retail,Midjourney,31.37,6969,2024,25-34,Startup
India,Transportation,ChatGPT,95.92,399,2023,35-44,Enterprise
Australia,Retail,Midjourney,7.56,9915,2024,35-44,Enterprise
Australia,Transportation,ChatGPT,47.92,9001,2024,18-24,Enterprise
India,Manufacturing,ChatGPT,83.32,9695,2024,18-24,Startup
China,Finance,ChatGPT,58.06,9050,2024,18-24,SME
China,Healthcare,ChatGPT,20.61,9805,2024,35-44,SME
Australia,Healthcare,ChatGPT,63.41,4257,2024,45-54,SME
France,Agriculture,Midjourney,38.34,8180,2024,18-24,Enterprise
France,Manufacturing,ChatGPT,23.11,1598,2024,45-54,SME
South Korea,Agriculture,Midjourney,40.98,4592,2024,25-34,Enterprise
France,Healthcare,ChatGPT,32.29,2425,2024,45-54,SME
Germany,Healthcare,Stable Diffusion,93.16,5180,2024,45-54,Enterprise
India,Finance,ChatGPT,81.17,8598,2024,25-34,Enterprise
Australia,Retail,Stable Diffusion,95.64,9694,2024,25-34,Startup
South Korea,Transportation,Midjourney,49.32,8831,2024,18-24,Enterprise
South Korea,Retail,Stable Diffusion,46.04,1354,2024,55+,SME
China,Agriculture,Stable Diffusion,72.74,7104,2024,18-24,Enterprise
China,Agriculture,ChatGPT,60.55,8376,2024,18-24,Enterprise
USA,Agriculture,Stable Diffusion,82.73,284,2024,18-24,Startup
India,Finance,Midjourney,69.32,5530,2024,25-34,Startup
Canada,Agriculture,Midjourney,41.05,2062,2023,18-24,SME
Canada,Transportation,Midjourney,97.14,6890,2024,18-24,Enterprise
Germany,Retail,Midjourney,36.06,3211,2024,25-34,SME
Germany,Healthcare,Midjourney,80.87,2438,2023,18-24,Startup
Brazil,Retail,Stable Diffusion,88.22,1113,2024,35-44,Enterprise
UK,Manufacturing,ChatGPT,66.29,1759,2023,45-54,Enterprise
Brazil,Retail,Stable Diffusion,2.2,6185,2024,35-44,Startup
South Korea,Technology,Midjourney,21.43,5492,2024,18-24,Enterprise
Germany,Education,Stable Diffusion,83.13,390,2024,35-44,SME
China,Manufacturing,ChatGPT,75.39,1659,2024,35-44,SME
South Korea,Technology,ChatGPT,42.37,7752,2023,55+,Startup
Australia,Manufacturing,ChatGPT,15.45,424,2023,35-44,SME
China,Manufacturing,Bard,38.57,3666,2024,25-34,Enterprise
Australia,Manufacturing,Midjourney,37.74,1056,2024,35-44,Startup
Canada,Agriculture,Claude,47.89,5530,2024,35-44,Enterprise
South Korea,Education,Claude,53.28,2175,2023,45-54,SME
China,Healthcare,Midjourney,52.12,1056,2024,18-24,SME
South Korea,Healthcare,Stable Diffusion,31.45,9138,2023,25-34,SME
South Korea,Healthcare,ChatGPT,35.99,930,2024,18-24,Enterprise
India,Finance,ChatGPT,87.59,1317,2024,55+,Enterprise
India,Transportation,Midjourney,22.24,7331,2024,35-44,Enterprise
Canada,Agriculture,Midjourney,3.51,2281,2024,55+,SME
USA,Healthcare,Midjourney,55.5,9275,2024,45-54,Startup
China,Manufacturing,Bard,5.28,540,2024,18-24,Enterprise
UK,Manufacturing,ChatGPT,42.86,4545,2024,45-54,Enterprise
South Korea,Healthcare,Stable Diffusion,11.06,6135,2024,25-34,SME
South Korea,Retail,Bard,52.63,3427,2024,25-34,Enterprise
India,Technology,ChatGPT,77.96,5156,2023,55+,Enterprise
Brazil,Technology,ChatGPT,98.19,3438,2024,55+,Enterprise
USA,Retail,Bard,49.9,6058,2023,25-34,Enterprise
France,Manufacturing,ChatGPT,67.87,3783,2024,55+,Enterprise
Brazil,Manufacturing,Midjourney,48.44,2007,2024,25-34,Startup
Brazil,Retail,ChatGPT,67.05,8340,2024,35-44,Enterprise
China,Transportation,ChatGPT,4.15,9801,2024,18-24,Enterprise
Brazil,Technology,Claude,62.55,6077,2024,35-44,Enterprise
India,Agriculture,Midjourney,37.48,5257,2023,25-34,SME
Canada,Education,Stable Diffusion,14.25,8105,2023,55+,Startup
UK,Finance,ChatGPT,24.03,6856,2024,25-34,Startup
Germany,Education,ChatGPT,79.41,6368,2024,55+,Enterprise
USA,Manufacturing,Midjourney,16.32,6355,2024,18-24,Enterprise
France,Manufacturing,Stable Diffusion,5.08,9803,2023,25-34,Enterprise
Germany,Finance,ChatGPT,10.24,7304,2023,55+,Startup
Australia,Technology,ChatGPT,1.77,9867,2024,18-24,SME
UK,Retail,Bard,62.17,1503,2023,35-44,Enterprise
Germany,Transportation,Bard,99.57,1336,2024,55+,SME
Brazil,Transportation,Bard,91.69,5179,2024,55+,SME
USA,Agriculture,Stable Diffusion,68.45,9273,2024,55+,Startup
France,Healthcare,ChatGPT,97.14,3138,2023,18-24,Enterprise
France,Agriculture,Stable Diffusion,60.16,1369,2024,35-44,SME
Germany,Retail,ChatGPT,71.92,2015,2023,25-34,SME
China,Manufacturing,Midjourney,67.67,7289,2024,55+,SME
USA,Finance,Bard,23.43,5288,2024,18-24,SME
South Korea,Agriculture,Midjourney,51.71,1345,2024,45-54,Enterprise
South Korea,Technology,ChatGPT,76.33,3526,2023,25-34,Enterprise
China,Agriculture,Stable Diffusion,64.97,6185,2023,45-54,Startup
USA,Transportation,ChatGPT,0.82,7394,2024,55+,Enterprise
India,Transportation,ChatGPT,82.98,2414,2023,18-24,Startup
USA,Transportation,ChatGPT,4.63,1582,2023,35-44,SME
Brazil,Agriculture,Stable Diffusion,73.73,503,2023,25-34,Enterprise
Brazil,Agriculture,ChatGPT,80.29,4556,2023,25-34,Enterprise
India,Technology,ChatGPT,42.66,364,2023,25-34,Startup
France,Finance,Stable Diffusion,63.51,618,2024,25-34,Startup
India,Healthcare,Midjourney,18.61,9333,2024,45-54,Startup
Germany,Finance,Claude,21.53,8726,2024,18-24,Startup
Canada,Manufacturing,ChatGPT,25.67,1157,2024,35-44,Enterprise
France,Transportation,Stable Diffusion,16.53,1458,2024,25-34,Startup
Brazil,Retail,Midjourney,23.93,4345,2023,55+,SME
USA,Agriculture,Bard,71.52,4090,2024,18-24,Startup
India,Agriculture,Stable Diffusion,9.23,2732,2024,25-34,Enterprise
China,Agriculture,ChatGPT,68.94,4396,2023,45-54,Startup
Germany,Technology,Midjourney,61.11,1804,2023,55+,SME
South Korea,Transportation,Midjourney,64.78,5125,2023,55+,Enterprise
France,Education,Claude,47.75,8711,2023,45-54,Startup
Germany,Finance,Midjourney,73.01,9023,2024,18-24,SME
South Korea,Education,Midjourney,71.08,7856,2023,18-24,SME
UK,Manufacturing,ChatGPT,74.44,8268,2023,18-24,Startup
Canada,Retail,ChatGPT,68.66,8149,2024,18-24,SME
UK,Education,ChatGPT,53.56,3363,2024,18-24,Enterprise
India,Manufacturing,ChatGPT,13.95,434,2024,25-34,Enterprise
South Korea,Education,ChatGPT,97.89,9219,2023,25-34,Enterprise
USA,Agriculture,Bard,68.47,9601,2023,35-44,Enterprise
India,Technology,ChatGPT,3.22,1841,2024,25-34,Startup
China,Retail,ChatGPT,64.66,8487,2024,55+,SME
China,Manufacturing,ChatGPT,43.62,6366,2023,25-34,Enterprise
India,Education,Stable Diffusion,86.14,4510,2024,45-54,Startup
USA,Education,Bard,95.51,9363,2023,25-34,Startup
Australia,Healthcare,ChatGPT,13.11,9229,2024,35-44,Startup
South Korea,Finance,ChatGPT,15.01,755,2024,55+,Enterprise
India,Retail,Midjourney,39.78,6714,2023,45-54,Startup
China,Healthcare,Stable Diffusion,21.08,457,2023,18-24,Enterprise
Canada,Healthcare,Midjourney,2.41,2139,2023,45-54,SME
South Korea,Education,Midjourney,59.87,5429,2024,25-34,Enterprise
Australia,Retail,Stable Diffusion,56.78,5113,2024,25-34,Startup
France,Education,Stable Diffusion,41.65,2184,2023,55+,Enterprise
